"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "YAML", "CSS", "HTML", "JavaScript React", "Less", "comment", "blank", "total"
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\GroupQuiz.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 338, 0, 30, 13, 381
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\P1GameDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 340, 0, 13, 25, 378
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\P1Overview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 89, 0, 8, 5, 102
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\P2TeamDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 173, 0, 4, 11, 188
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\P3ScoreAndBonus.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 65, 0, 3, 5, 73
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\main.css", "CSS", 0, 0, 0, 0, 0, 619, 0, 0, 0, 36, 16, 671
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\main.html", "HTML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\main.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 113
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\deployment.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\example-config.yaml", "YAML", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 125
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\package-lock.json", "JSON", 0, 0, 1524, 0, 0, 0, 0, 0, 0, 0, 1, 1525
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\pilot_1_config_with_Nak.yaml", "YAML", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 1, 172
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\public\experiment\groupUIExample.svg", "XML", 0, 0, 0, 4038, 0, 0, 0, 0, 0, 1, 2, 4041
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\public\experiment\indUIExample.svg", "XML", 0, 0, 0, 2959, 0, 0, 0, 0, 0, 1, 2, 2962
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\public\experiment\instruction-room-arrangements.svg", "XML", 0, 0, 0, 1769, 0, 0, 0, 0, 0, 1, 17, 1787
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\public\resources\icons\icons.json", "JSON", 0, 0, 3166, 0, 0, 0, 0, 0, 0, 0, 1, 3167
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\server\bots.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 19
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\server\callbacks.js", "JavaScript", 326, 0, 0, 0, 0, 0, 0, 0, 0, 146, 53, 525
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\server\constants.js", "JavaScript", 478, 0, 0, 0, 0, 0, 0, 0, 0, 439, 5, 922
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\server\main.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 79
"Total", "-", 905, 59, 4733, 8766, 295, 619, 6, 7551, 0, 3819, 1093, 27846
